date,home_team,away_team,home_score,away_score,goal_diff,tournament,country,neutral,home_is_host,elo_diff,home_higher_elo,home_recent_win_rate,away_recent_win_rate,recent_form_diff,home_avg_goals_last10,away_avg_goals_last10,diff_in_avg_goals,home_total_goals_last10,away_total_goals_last10,home_total_conceded_last10,away_total_conceded_last10,diff_in_total_conceded,tournament_weight,match_result
2000-01-24,Qatar,Bosnia and Herzegovina,2,0,2,Friendly,Qatar,False,1,-89.0,0,0.4,0.2,0.2,0.9,1.3,-0.4,9.0,13.0,6.0,16.0,-10.0,1,home_win
2000-01-25,Morocco,Congo,1,0,1,African Cup of Nations,Nigeria,True,0,217.0,1,0.5,0.5,0.0,1.1,1.3,-0.19999999999999996,11.0,13.0,11.0,11.0,0.0,4,home_win
2000-01-25,Burkina Faso,Senegal,1,3,-2,African Cup of Nations,Nigeria,True,0,14.0,1,0.3,0.5,-0.2,1.5,1.9,-0.3999999999999999,15.0,19.0,15.0,7.0,8.0,4,away_win
2000-01-26,China PR,Guam,19,0,19,AFC Asian Cup qualification,Vietnam,True,0,408.0,1,0.8,0.0,0.8,3.3,0.1,3.1999999999999997,33.0,1.0,7.0,95.0,-88.0,2,home_win
2000-01-26,Costa Rica,Trinidad and Tobago,2,1,1,Friendly,Costa Rica,False,1,-54.0,0,0.5,0.6,-0.09999999999999998,2.3,2.6,-0.30000000000000027,23.0,26.0,12.0,11.0,1.0,1,home_win
2000-01-26,Guatemala,Panama,1,1,0,Friendly,Guatemala,False,1,240.0,1,0.2,0.4,-0.2,0.8,1.2,-0.3999999999999999,8.0,12.0,12.0,16.0,-4.0,1,draw
2000-01-26,Spain,Poland,3,0,3,Friendly,Spain,False,1,164.0,1,0.8,0.4,0.4,4.3,1.0,3.3,43.0,10.0,5.0,11.0,-6.0,1,home_win
2000-01-26,Uganda,Libya,3,2,1,Friendly,Uganda,False,1,77.0,1,0.3,0.5,-0.2,0.5,1.6,-1.1,5.0,16.0,9.0,16.0,-7.0,1,home_win
2000-01-26,Vietnam,Philippines,3,0,3,AFC Asian Cup qualification,Vietnam,False,1,299.0,1,0.6,0.0,0.6,2.6,0.7,1.9000000000000001,26.0,7.0,8.0,39.0,-31.0,2,home_win
2000-01-27,Ghana,Togo,2,0,2,African Cup of Nations,Ghana,False,1,113.0,1,0.5,0.1,0.4,1.1,0.8,0.30000000000000004,11.0,8.0,6.0,20.0,-14.0,4,home_win
2000-01-27,South Africa,DR Congo,1,0,1,African Cup of Nations,Ghana,True,0,104.0,1,0.4,0.4,0.0,1.1,1.3,-0.19999999999999996,11.0,13.0,8.0,11.0,-3.0,4,home_win
2000-01-28,United States Virgin Islands,Saint Lucia,0,9,-9,Friendly,United States Virgin Islands,False,1,-182.0,0,0.3333333333333333,0.3,0.033333333333333326,1.0,1.6,-0.6000000000000001,3.0,16.0,2.0,15.0,-13.0,1,away_win
2000-01-28,Nigeria,Congo,0,0,0,African Cup of Nations,Nigeria,False,1,48.0,1,0.5,0.4,0.09999999999999998,1.4,1.0,0.3999999999999999,14.0,10.0,18.0,12.0,6.0,4,draw
2000-01-28,Egypt,Senegal,1,0,1,African Cup of Nations,Nigeria,True,0,119.0,1,0.4,0.6,-0.19999999999999996,1.2,2.1,-0.9000000000000001,12.0,21.0,15.0,6.0,9.0,4,home_win
2000-01-28,Cameroon,Ivory Coast,3,0,3,African Cup of Nations,Ghana,True,0,-28.0,0,0.3,0.4,-0.10000000000000003,1.3,1.2,0.10000000000000009,13.0,12.0,9.0,8.0,1.0,4,home_win
2000-01-29,Algeria,Gabon,3,1,2,African Cup of Nations,Ghana,True,0,-35.0,0,0.4,0.4,0.0,1.2,1.1,0.09999999999999987,12.0,11.0,7.0,12.0,-5.0,4,home_win
2000-01-29,Chile,United States,1,2,-1,Friendly,Chile,False,1,-1.0,0,0.4,0.4,0.0,1.4,1.2,0.19999999999999996,14.0,12.0,10.0,10.0,0.0,1,away_win
2000-01-29,Philippines,Guam,2,0,2,AFC Asian Cup qualification,Vietnam,True,0,71.0,1,0.0,0.0,0.0,0.7,0.1,0.6,7.0,1.0,41.0,108.0,-67.0,2,home_win
2000-01-29,Tunisia,Morocco,0,0,0,African Cup of Nations,Nigeria,True,0,-9.0,0,0.6,0.6,0.0,1.8,1.2,0.6000000000000001,18.0,12.0,9.0,10.0,-1.0,4,draw
2000-01-29,Vietnam,China PR,0,2,-2,AFC Asian Cup qualification,Vietnam,False,1,-38.0,0,0.7,0.8,-0.10000000000000009,2.9,4.8,-1.9,29.0,48.0,6.0,6.0,0.0,2,away_win
2000-01-29,Zambia,Burkina Faso,1,1,0,African Cup of Nations,Nigeria,True,0,118.0,1,0.2,0.2,0.0,0.6,1.3,-0.7000000000000001,6.0,13.0,15.0,17.0,-2.0,4,draw
2000-01-30,United States Virgin Islands,Saint Lucia,0,2,-2,Friendly,United States Virgin Islands,False,1,-182.0,0,0.25,0.4,-0.15000000000000002,0.75,2.4,-1.65,3.0,24.0,11.0,14.0,-3.0,1,away_win
2000-01-31,Faroe Islands,Finland,0,1,-1,Nordic Championship,Spain,True,0,-178.0,0,0.0,0.2,-0.2,0.4,1.5,-1.1,4.0,15.0,13.0,18.0,-5.0,2,away_win
2000-01-31,Kuwait,Syria,4,0,4,Friendly,Kuwait,False,1,89.0,1,0.3,0.3,0.0,2.5,1.0,1.5,25.0,10.0,11.0,17.0,-6.0,1,home_win
2000-01-31,Cameroon,Togo,0,1,-1,African Cup of Nations,Ghana,True,0,88.0,1,0.4,0.1,0.30000000000000004,1.5,0.7,0.8,15.0,7.0,8.0,21.0,-13.0,4,away_win
2000-01-31,Ghana,Ivory Coast,0,2,-2,African Cup of Nations,Ghana,False,1,-3.0,0,0.5,0.3,0.2,1.2,0.9,0.29999999999999993,12.0,9.0,6.0,11.0,-5.0,4,away_win
2000-01-31,Iceland,Norway,0,0,0,Nordic Championship,Spain,True,0,-183.0,0,0.6,0.9,-0.30000000000000004,1.5,2.3,-0.7999999999999998,15.0,23.0,8.0,4.0,4.0,2,draw
2000-02-01,British Virgin Islands,Saint Lucia,2,3,-1,Friendly,British Virgin Islands,False,1,-73.0,0,0.3,0.5,-0.2,1.2,2.6,-1.4000000000000001,12.0,26.0,23.0,14.0,9.0,1,away_win
2000-02-01,Egypt,Burkina Faso,4,2,2,African Cup of Nations,Nigeria,True,0,105.0,1,0.4,0.2,0.2,1.2,1.2,0.0,12.0,12.0,15.0,16.0,-1.0,4,home_win
2000-02-01,Zambia,Senegal,2,2,0,African Cup of Nations,Nigeria,True,0,132.0,1,0.1,0.6,-0.5,0.6,2.0,-1.4,6.0,20.0,16.0,6.0,10.0,4,draw
2000-02-02,South Africa,Algeria,1,1,0,African Cup of Nations,Ghana,True,0,176.0,1,0.5,0.5,0.0,1.2,1.5,-0.30000000000000004,12.0,15.0,6.0,6.0,0.0,4,draw
2000-02-02,Romania,Latvia,2,0,2,Cyprus International Tournament,Cyprus,True,0,227.0,1,0.6,0.1,0.5,1.9,0.9,0.9999999999999999,19.0,9.0,6.0,18.0,-12.0,2,home_win
2000-02-02,Finland,Iceland,0,1,-1,Nordic Championship,Spain,True,0,-27.0,0,0.3,0.5,-0.2,1.5,1.3,0.19999999999999996,15.0,13.0,16.0,7.0,9.0,2,away_win
2000-02-02,Saint Kitts and Nevis,Saint Lucia,0,1,-1,Friendly,Saint Kitts and Nevis,False,1,3.0,1,0.5,0.6,-0.09999999999999998,2.3,2.8,-0.5,23.0,28.0,20.0,14.0,6.0,1,away_win
2000-02-02,Costa Rica,Chile,1,0,1,Friendly,Costa Rica,False,1,-137.0,0,0.5,0.4,0.09999999999999998,1.8,1.4,0.40000000000000013,18.0,14.0,13.0,10.0,3.0,1,home_win
2000-02-02,Armenia,Moldova,2,1,1,Cyprus International Tournament,Cyprus,True,0,27.0,1,0.1,0.1,0.0,0.6,0.8,-0.20000000000000007,6.0,8.0,16.0,17.0,-1.0,2,home_win
2000-02-02,DR Congo,Gabon,0,0,0,African Cup of Nations,Ghana,True,0,37.0,1,0.4,0.3,0.10000000000000003,0.9,1.1,-0.20000000000000007,9.0,11.0,8.0,15.0,-7.0,4,draw
2000-02-02,Cyprus,Lithuania,2,1,1,Cyprus International Tournament,Cyprus,False,1,-36.0,0,0.4,0.2,0.2,1.4,0.6,0.7999999999999999,14.0,6.0,22.0,17.0,5.0,2,home_win
2000-02-03,Nigeria,Morocco,2,0,2,African Cup of Nations,Nigeria,False,1,-169.0,0,0.5,0.6,-0.09999999999999998,1.3,1.1,0.19999999999999996,13.0,11.0,13.0,9.0,4.0,4,home_win
2000-02-03,Tunisia,Congo,1,0,1,African Cup of Nations,Nigeria,True,0,208.0,1,0.5,0.4,0.09999999999999998,1.6,0.9,0.7000000000000001,16.0,9.0,9.0,11.0,-2.0,4,home_win
2000-02-04,Norway,Sweden,1,1,0,Nordic Championship,Spain,True,0,55.0,1,0.8,0.6,0.20000000000000007,2.1,0.9,1.2000000000000002,21.0,9.0,4.0,4.0,0.0,2,draw
2000-02-04,Moldova,Lithuania,2,1,1,Cyprus International Tournament,Cyprus,True,0,-126.0,0,0.1,0.2,-0.1,0.8,0.7,0.10000000000000009,8.0,7.0,16.0,17.0,-1.0,2,home_win
2000-02-04,Romania,Georgia,1,1,0,Cyprus International Tournament,Cyprus,True,0,240.0,1,0.7,0.1,0.6,2.1,1.0,1.1,21.0,10.0,4.0,19.0,-15.0,2,draw
2000-02-04,Faroe Islands,Iceland,2,3,-1,Nordic Championship,Spain,True,0,-205.0,0,0.0,0.5,-0.5,0.4,1.2,-0.7999999999999999,4.0,12.0,13.0,7.0,6.0,2,away_win
2000-02-04,Cyprus,Armenia,3,2,1,Cyprus International Tournament,Cyprus,False,1,63.0,1,0.4,0.2,0.2,1.5,0.8,0.7,15.0,8.0,23.0,16.0,7.0,2,home_win
2000-02-04,Kuwait,Iran,1,1,0,Friendly,Kuwait,False,1,-107.0,0,0.3,0.4,-0.10000000000000003,1.8,1.2,0.6000000000000001,18.0,12.0,11.0,8.0,3.0,1,draw
2000-02-05,Guatemala,Chile,2,1,1,Friendly,Guatemala,False,1,-164.0,0,0.1,0.4,-0.30000000000000004,0.7,1.3,-0.6000000000000001,7.0,13.0,13.0,10.0,3.0,1,home_win
2000-02-05,Japan,Mexico,0,1,-1,Lunar New Year Cup,Hong Kong,True,0,-206.0,0,0.1,0.6,-0.5,0.6,1.7,-1.1,6.0,17.0,15.0,9.0,6.0,2,away_win
2000-02-06,Ghana,South Africa,0,1,-1,African Cup of Nations,Ghana,False,1,-71.0,0,0.5,0.5,0.0,1.2,1.2,0.0,12.0,12.0,8.0,6.0,2.0,4,away_win
2000-02-06,Latvia,Lithuania,1,2,-1,Cyprus International Tournament,Cyprus,True,0,-36.0,0,0.1,0.2,-0.1,0.9,0.7,0.20000000000000007,9.0,7.0,17.0,17.0,0.0,2,away_win
2000-02-06,Malta,Azerbaijan,3,0,3,Malta International Tournament,Malta,False,1,-82.0,0,0.2,0.2,0.0,0.9,1.0,-0.09999999999999998,9.0,10.0,18.0,25.0,-7.0,2,home_win
2000-02-06,Albania,Andorra,3,0,3,Malta International Tournament,Malta,True,0,247.0,1,0.2,0.0,0.2,1.0,0.2,0.8,10.0,2.0,13.0,29.0,-16.0,2,home_win
2000-02-06,Cameroon,Algeria,2,1,1,African Cup of Nations,Ghana,True,0,80.0,1,0.4,0.4,0.0,1.5,1.4,0.10000000000000009,15.0,14.0,6.0,7.0,-1.0,4,home_win
2000-02-06,Cayman Islands,Jamaica,0,0,0,Friendly,Cayman Islands,False,1,-363.0,0,0.3,0.4,-0.10000000000000003,1.4,1.3,0.09999999999999987,14.0,13.0,22.0,16.0,6.0,1,draw
2000-02-06,Cyprus,Romania,3,2,1,Cyprus International Tournament,Cyprus,False,1,-227.0,0,0.5,0.7,-0.19999999999999996,1.8,2.2,-0.40000000000000013,18.0,22.0,24.0,5.0,19.0,2,home_win
2000-02-06,Georgia,Armenia,2,1,1,Cyprus International Tournament,Cyprus,True,0,50.0,1,0.1,0.2,-0.1,1.1,1.0,0.10000000000000009,11.0,10.0,17.0,16.0,1.0,2,home_win
2000-02-07,Egypt,Tunisia,0,1,-1,African Cup of Nations,Nigeria,True,0,-46.0,0,0.5,0.5,0.0,1.4,1.5,-0.10000000000000009,14.0,15.0,15.0,9.0,6.0,4,away_win
