Unnamed: 0,rank,country_full,country_abrv,total_points,previous_points,rank_change,confederation,rank_date
1,33.0,Portugal,POR,38.0,0.0,33,UEFA,1992-12-31
4,30.0,Algeria,ALG,39.0,0.0,30,CAF,1992-12-31
7,27.0,Ivory Coast,CIV,41.0,0.0,27,CAF,1992-12-31
8,34.0,Austria,AUT,38.0,0.0,34,UEFA,1992-12-31
10,24.0,United States,USA,43.0,0.0,24,CONCACAF,1992-12-31
11,23.0,Scotland,SCO,43.0,0.0,23,UEFA,1992-12-31
13,21.0,Egypt,EGY,45.0,0.0,21,CAF,1992-12-31
15,19.0,France,FRA,46.0,0.0,19,UEFA,1992-12-31
17,25.0,Mexico,MEX,43.0,0.0,25,CONCACAF,1992-12-31
18,35.0,Colombia,COL,36.0,0.0,35,CONMEBOL,1992-12-31
23,52.0,Qatar,QAT,27.0,0.0,52,AFC,1992-12-31
24,51.0,Senegal,SEN,27.0,0.0,51,CAF,1992-12-31
26,49.0,South Korea,KOR,28.0,0.0,49,AFC,1992-12-31
27,48.0,Saudi Arabia,KSA,28.0,0.0,48,AFC,1992-12-31
30,45.0,Australia,AUS,29.0,0.0,45,AFC,1992-12-31
33,42.0,Turkey,TUR,31.0,0.0,42,UEFA,1992-12-31
34,41.0,Morocco,MAR,32.0,0.0,41,CAF,1992-12-31
36,39.0,Ghana,GHA,34.0,0.0,39,CAF,1992-12-31
37,38.0,Tunisia,TUN,35.0,0.0,38,CAF,1992-12-31
38,17.0,Belgium,BEL,48.0,0.0,17,UEFA,1992-12-31
40,16.0,Uruguay,URU,48.0,0.0,16,CONMEBOL,1992-12-31
62,12.0,Switzerland,SUI,51.0,0.0,12,UEFA,1992-12-31
64,10.0,Argentina,ARG,51.0,0.0,10,CONMEBOL,1992-12-31
67,7.0,Netherlands,NED,54.0,0.0,7,UEFA,1992-12-31
69,5.0,England,ENG,55.0,0.0,5,UEFA,1992-12-31
70,4.0,Sweden,SWE,56.0,0.0,4,UEFA,1992-12-31
71,3.0,Brazil,BRA,56.0,0.0,3,CONMEBOL,1992-12-31
73,1.0,Germany,GER,57.0,0.0,1,UEFA,1992-12-31
79,15.0,Spain,ESP,49.0,0.0,15,UEFA,1992-12-31
81,14.0,Norway,NOR,49.0,0.0,14,UEFA,1992-12-31
87,113.0,Croatia,CRO,7.0,0.0,113,UEFA,1992-12-31
91,110.0,Jordan,JOR,8.0,0.0,110,AFC,1992-12-31
101,120.0,Panama,PAN,5.0,0.0,120,CONCACAF,1992-12-31
103,57.0,Canada,CAN,25.0,0.0,57,CONCACAF,1992-12-31
106,135.0,Cape Verde,CPV,3.0,0.0,135,CAF,1992-12-31
111,130.0,Haiti,HAI,4.0,0.0,130,CONCACAF,1992-12-31
117,124.0,South Africa,RSA,5.0,0.0,124,CAF,1992-12-31
129,70.0,New Zealand,NZL,22.0,0.0,70,OFC,1992-12-31
131,68.0,Paraguay,PAR,22.0,0.0,68,CONMEBOL,1992-12-31
133,66.0,Japan,JPN,22.0,0.0,66,AFC,1992-12-31
134,65.0,Ecuador,ECU,23.0,0.0,65,CONMEBOL,1992-12-31
138,61.0,Iran,IRN,24.0,0.0,61,AFC,1992-12-31
160,82.0,Iraq,IRQ,15.0,0.0,82,AFC,1992-12-31
169,109.0,South Africa,RSA,11.0,5.0,-15,CAF,1993-08-08
176,117.0,Croatia,CRO,9.0,7.0,4,UEFA,1993-08-08
188,87.0,Jordan,JOR,17.0,8.0,-23,AFC,1993-08-08
235,125.0,Panama,PAN,7.0,5.0,5,CONCACAF,1993-08-08
239,139.0,Haiti,HAI,3.0,4.0,9,CONCACAF,1993-08-08
243,143.0,Cape Verde,CPV,2.0,3.0,8,CAF,1993-08-08
250,22.0,Uruguay,URU,46.0,48.0,6,CONMEBOL,1993-08-08
251,23.0,Portugal,POR,46.0,38.0,-10,UEFA,1993-08-08
254,26.0,Egypt,EGY,44.0,45.0,5,CAF,1993-08-08
257,28.0,United States,USA,44.0,43.0,4,CONCACAF,1993-08-08
258,30.0,Scotland,SCO,42.0,43.0,7,UEFA,1993-08-08
259,31.0,Tunisia,TUN,40.0,35.0,-7,CAF,1993-08-08
261,33.0,Morocco,MAR,40.0,32.0,-8,CAF,1993-08-08
262,34.0,Algeria,ALG,40.0,39.0,4,CAF,1993-08-08
263,35.0,Ecuador,ECU,40.0,23.0,-30,CONMEBOL,1993-08-08
264,36.0,South Korea,KOR,40.0,28.0,-13,AFC,1993-08-08
265,29.0,Ivory Coast,CIV,43.0,41.0,2,CAF,1993-08-08
266,19.0,Colombia,COL,48.0,36.0,-16,CONMEBOL,1993-08-08
267,18.0,Belgium,BEL,48.0,48.0,1,UEFA,1993-08-08
269,80.0,New Zealand,NZL,21.0,22.0,10,OFC,1993-08-08
270,1.0,Germany,GER,58.0,57.0,0,UEFA,1993-08-08
272,3.0,Switzerland,SUI,57.0,51.0,-9,UEFA,1993-08-08
273,4.0,Sweden,SWE,56.0,56.0,0,UEFA,1993-08-08
274,5.0,Argentina,ARG,56.0,51.0,-5,CONMEBOL,1993-08-08
277,8.0,Brazil,BRA,54.0,56.0,5,CONMEBOL,1993-08-08
278,9.0,Norway,NOR,54.0,49.0,-5,UEFA,1993-08-08
280,11.0,England,ENG,53.0,55.0,6,UEFA,1993-08-08
281,12.0,France,FRA,52.0,46.0,-7,UEFA,1993-08-08
282,13.0,Spain,ESP,51.0,49.0,-2,UEFA,1993-08-08
283,14.0,Mexico,MEX,50.0,43.0,-11,CONCACAF,1993-08-08
285,16.0,Netherlands,NED,50.0,54.0,9,UEFA,1993-08-08
287,38.0,Austria,AUT,39.0,38.0,4,UEFA,1993-08-08
291,63.0,Turkey,TUR,29.0,31.0,21,UEFA,1993-08-08
295,67.0,Paraguay,PAR,27.0,22.0,-1,CONMEBOL,1993-08-08
310,58.0,Senegal,SEN,31.0,27.0,7,CAF,1993-08-08
313,43.0,Japan,JPN,35.0,22.0,-23,AFC,1993-08-08
314,44.0,Saudi Arabia,KSA,34.0,28.0,-4,AFC,1993-08-08
316,46.0,Canada,CAN,34.0,25.0,-11,CONCACAF,1993-08-08
318,48.0,Ghana,GHA,34.0,34.0,9,CAF,1993-08-08
321,51.0,Qatar,QAT,32.0,27.0,-1,AFC,1993-08-08
322,57.0,Iraq,IRQ,31.0,15.0,-25,AFC,1993-08-08
323,52.0,Australia,AUS,32.0,29.0,7,AFC,1993-08-08
325,54.0,Iran,IRN,32.0,24.0,-7,AFC,1993-08-08
329,59.0,Iraq,IRQ,30.0,31.0,2,AFC,1993-09-23
330,58.0,Iran,IRN,31.0,32.0,4,AFC,1993-09-23
331,57.0,Senegal,SEN,31.0,31.0,-1,CAF,1993-09-23
333,55.0,Paraguay,PAR,32.0,27.0,-12,CONMEBOL,1993-09-23
334,54.0,Qatar,QAT,32.0,32.0,3,AFC,1993-09-23
341,46.0,Canada,CAN,34.0,34.0,0,CONCACAF,1993-09-23
343,44.0,Saudi Arabia,KSA,34.0,34.0,0,AFC,1993-09-23
350,43.0,Japan,JPN,35.0,35.0,0,AFC,1993-09-23
363,66.0,Turkey,TUR,27.0,29.0,3,UEFA,1993-09-23
364,65.0,Australia,AUS,29.0,32.0,13,AFC,1993-09-23
367,42.0,Ghana,GHA,37.0,34.0,-6,CAF,1993-09-23
371,16.0,Mexico,MEX,51.0,50.0,2,CONCACAF,1993-09-23
372,15.0,Uruguay,URU,51.0,46.0,-7,CONMEBOL,1993-09-23
373,14.0,Spain,ESP,53.0,51.0,1,UEFA,1993-09-23
374,13.0,Netherlands,NED,53.0,50.0,-3,UEFA,1993-09-23
375,12.0,Argentina,ARG,55.0,56.0,7,CONMEBOL,1993-09-23
376,11.0,Sweden,SWE,55.0,56.0,7,UEFA,1993-09-23
377,10.0,Switzerland,SUI,55.0,57.0,7,UEFA,1993-09-23
380,7.0,France,FRA,56.0,52.0,-5,UEFA,1993-09-23
381,5.0,Germany,GER,56.0,58.0,4,UEFA,1993-09-23
382,5.0,England,ENG,56.0,53.0,-6,UEFA,1993-09-23
384,3.0,Norway,NOR,57.0,54.0,-6,UEFA,1993-09-23
386,1.0,Brazil,BRA,59.0,54.0,-7,CONMEBOL,1993-09-23
388,19.0,Colombia,COL,50.0,48.0,0,CONMEBOL,1993-09-23
390,21.0,Portugal,POR,47.0,46.0,-2,UEFA,1993-09-23
394,36.0,South Korea,KOR,39.0,40.0,0,AFC,1993-09-23
396,34.0,Tunisia,TUN,41.0,40.0,3,CAF,1993-09-23
397,33.0,Austria,AUT,41.0,39.0,-5,UEFA,1993-09-23
398,32.0,Morocco,MAR,42.0,40.0,-1,CAF,1993-09-23
399,41.0,Ecuador,ECU,37.0,40.0,6,CONMEBOL,1993-09-23
400,31.0,Ivory Coast,CIV,43.0,43.0,2,CAF,1993-09-23
402,28.0,Scotland,SCO,44.0,42.0,-2,UEFA,1993-09-23
404,26.0,United States,USA,45.0,44.0,-2,CONCACAF,1993-09-23
405,25.0,Egypt,EGY,45.0,44.0,-1,CAF,1993-09-23
406,24.0,Belgium,BEL,45.0,48.0,6,UEFA,1993-09-23
409,30.0,Algeria,ALG,43.0,40.0,-4,CAF,1993-09-23
412,84.0,New Zealand,NZL,20.0,21.0,4,OFC,1993-09-23
417,142.0,Cape Verde,CPV,2.0,2.0,-1,CAF,1993-09-23
419,140.0,Haiti,HAI,3.0,3.0,1,CONCACAF,1993-09-23
454,126.0,Panama,PAN,7.0,7.0,1,CONCACAF,1993-09-23
461,95.0,South Africa,RSA,16.0,11.0,-14,CAF,1993-09-23
467,89.0,Jordan,JOR,17.0,17.0,2,AFC,1993-09-23
483,116.0,Croatia,CRO,9.0,9.0,-1,UEFA,1993-09-23
495,1.0,Brazil,BRA,59.0,59.0,0,CONMEBOL,1993-10-22
497,61.0,Australia,AUS,30.0,29.0,-4,AFC,1993-10-22
499,59.0,Iran,IRN,30.0,31.0,1,AFC,1993-10-22
501,57.0,Senegal,SEN,31.0,31.0,0,CAF,1993-10-22
502,56.0,Paraguay,PAR,31.0,32.0,1,CONMEBOL,1993-10-22
507,51.0,Qatar,QAT,32.0,32.0,-3,AFC,1993-10-22
511,47.0,Canada,CAN,34.0,34.0,1,CONCACAF,1993-10-22
512,46.0,Saudi Arabia,KSA,34.0,34.0,2,AFC,1993-10-22
515,64.0,Iraq,IRQ,29.0,30.0,5,AFC,1993-10-22
523,77.0,New Zealand,NZL,22.0,20.0,-7,OFC,1993-10-22
532,67.0,Turkey,TUR,27.0,27.0,1,UEFA,1993-10-22
535,44.0,Japan,JPN,35.0,35.0,1,AFC,1993-10-22
538,20.0,Portugal,POR,49.0,47.0,-1,UEFA,1993-10-22
539,19.0,Colombia,COL,49.0,50.0,0,CONMEBOL,1993-10-22
540,18.0,Mexico,MEX,51.0,51.0,2,CONCACAF,1993-10-22
541,17.0,Uruguay,URU,51.0,51.0,2,CONMEBOL,1993-10-22
544,14.0,France,FRA,53.0,56.0,7,UEFA,1993-10-22
545,13.0,Switzerland,SUI,53.0,55.0,3,UEFA,1993-10-22
548,10.0,England,ENG,55.0,56.0,5,UEFA,1993-10-22
549,9.0,Argentina,ARG,55.0,55.0,-3,CONMEBOL,1993-10-22
550,8.0,Sweden,SWE,55.0,55.0,-3,UEFA,1993-10-22
551,7.0,Spain,ESP,56.0,53.0,-7,UEFA,1993-10-22
552,6.0,Netherlands,NED,56.0,53.0,-7,UEFA,1993-10-22
554,4.0,Germany,GER,58.0,56.0,-1,UEFA,1993-10-22
558,24.0,Belgium,BEL,46.0,45.0,0,UEFA,1993-10-22
559,41.0,Ecuador,ECU,37.0,37.0,0,CONMEBOL,1993-10-22
560,40.0,Ghana,GHA,37.0,37.0,-2,CAF,1993-10-22
563,37.0,South Korea,KOR,39.0,39.0,1,AFC,1993-10-22
565,35.0,Tunisia,TUN,40.0,41.0,1,CAF,1993-10-22
566,34.0,Austria,AUT,41.0,41.0,1,UEFA,1993-10-22
567,33.0,Ivory Coast,CIV,41.0,43.0,2,CAF,1993-10-22
569,31.0,Algeria,ALG,42.0,43.0,1,CAF,1993-10-22
570,30.0,Morocco,MAR,43.0,42.0,-2,CAF,1993-10-22
571,29.0,Scotland,SCO,43.0,44.0,1,UEFA,1993-10-22
573,27.0,Egypt,EGY,44.0,45.0,2,CAF,1993-10-22
574,26.0,United States,USA,45.0,45.0,0,CONCACAF,1993-10-22
584,142.0,Cape Verde,CPV,2.0,2.0,0,CAF,1993-10-22
586,140.0,Haiti,HAI,3.0,3.0,0,CONCACAF,1993-10-22
630,95.0,South Africa,RSA,15.0,16.0,0,CAF,1993-10-22
636,89.0,Jordan,JOR,17.0,17.0,0,AFC,1993-10-22
639,128.0,Panama,PAN,7.0,7.0,2,CONCACAF,1993-10-22
650,118.0,Croatia,CRO,9.0,9.0,2,UEFA,1993-10-22
660,2.0,Norway,NOR,59.0,57.0,-1,UEFA,1993-10-22
662,22.0,Belgium,BEL,47.0,46.0,-2,UEFA,1993-11-19
663,121.0,Croatia,CRO,8.0,9.0,3,UEFA,1993-11-19
665,58.0,Iran,IRN,31.0,30.0,-1,AFC,1993-11-19
669,54.0,Qatar,QAT,33.0,32.0,3,AFC,1993-11-19
672,51.0,Turkey,TUR,34.0,27.0,-16,UEFA,1993-11-19
674,49.0,Australia,AUS,35.0,30.0,-12,AFC,1993-11-19
675,48.0,Canada,CAN,36.0,34.0,1,CONCACAF,1993-11-19
676,47.0,Ecuador,ECU,36.0,37.0,6,CONMEBOL,1993-11-19
680,43.0,Japan,JPN,36.0,35.0,-1,AFC,1993-11-19
683,61.0,Paraguay,PAR,30.0,31.0,5,CONMEBOL,1993-11-19
684,63.0,Senegal,SEN,30.0,31.0,6,CAF,1993-11-19
689,76.0,New Zealand,NZL,22.0,22.0,-1,OFC,1993-11-19
699,66.0,Iraq,IRQ,29.0,29.0,2,AFC,1993-11-19
704,41.0,Ghana,GHA,37.0,37.0,1,CAF,1993-11-19
705,39.0,South Korea,KOR,38.0,39.0,2,AFC,1993-11-19
706,5.0,Norway,NOR,58.0,59.0,3,UEFA,1993-11-19
708,7.0,Spain,ESP,57.0,56.0,0,UEFA,1993-11-19
709,8.0,England,ENG,56.0,55.0,-2,UEFA,1993-11-19
710,9.0,Argentina,ARG,55.0,55.0,0,CONMEBOL,1993-11-19
711,9.0,Switzerland,SUI,55.0,53.0,-4,UEFA,1993-11-19
716,15.0,France,FRA,52.0,53.0,1,UEFA,1993-11-19
718,17.0,Mexico,MEX,51.0,51.0,-1,CONCACAF,1993-11-19
719,18.0,Uruguay,URU,51.0,51.0,1,CONMEBOL,1993-11-19
721,20.0,Portugal,POR,49.0,49.0,0,UEFA,1993-11-19
722,21.0,Colombia,COL,49.0,49.0,2,CONMEBOL,1993-11-19
723,4.0,Brazil,BRA,58.0,59.0,3,CONMEBOL,1993-11-19
725,3.0,Germany,GER,59.0,58.0,-1,UEFA,1993-11-19
727,38.0,Saudi Arabia,KSA,38.0,34.0,-8,AFC,1993-11-19
729,36.0,Tunisia,TUN,40.0,40.0,1,CAF,1993-11-19
730,35.0,Austria,AUT,41.0,41.0,1,UEFA,1993-11-19
731,34.0,Ivory Coast,CIV,41.0,41.0,1,CAF,1993-11-19
732,33.0,Algeria,ALG,42.0,42.0,2,CAF,1993-11-19
734,31.0,Egypt,EGY,43.0,44.0,4,CAF,1993-11-19
735,30.0,Morocco,MAR,44.0,43.0,0,CAF,1993-11-19
738,27.0,United States,USA,45.0,45.0,1,CONCACAF,1993-11-19
740,25.0,Scotland,SCO,45.0,43.0,-4,UEFA,1993-11-19
744,2.0,Netherlands,NED,59.0,56.0,-4,UEFA,1993-11-19
746,11.0,Sweden,SWE,55.0,55.0,3,UEFA,1993-11-19
767,142.0,Cape Verde,CPV,2.0,2.0,0,CAF,1993-11-19
768,140.0,Haiti,HAI,3.0,3.0,0,CONCACAF,1993-11-19
774,127.0,Panama,PAN,7.0,7.0,-1,CONCACAF,1993-11-19
794,96.0,South Africa,RSA,15.0,15.0,1,CAF,1993-11-19
803,87.0,Jordan,JOR,18.0,17.0,-2,AFC,1993-11-19
830,95.0,South Africa,RSA,15.0,15.0,-1,CAF,1993-12-23
847,77.0,New Zealand,NZL,22.0,22.0,1,OFC,1993-12-23
856,87.0,Jordan,JOR,18.0,18.0,0,AFC,1993-12-23
864,132.0,Panama,PAN,7.0,7.0,5,CONCACAF,1993-12-23
893,122.0,Croatia,CRO,9.0,8.0,1,UEFA,1993-12-23
899,33.0,Ivory Coast,CIV,42.0,41.0,-1,CAF,1993-12-23
903,20.0,Portugal,POR,49.0,49.0,0,UEFA,1993-12-23
904,21.0,Colombia,COL,48.0,49.0,0,CONMEBOL,1993-12-23
905,22.0,United States,USA,46.0,45.0,-5,CONCACAF,1993-12-23
907,17.0,Uruguay,URU,51.0,51.0,-1,CONMEBOL,1993-12-23
908,24.0,Scotland,SCO,45.0,45.0,-1,UEFA,1993-12-23
909,26.0,Egypt,EGY,45.0,43.0,-5,CAF,1993-12-23
913,30.0,Morocco,MAR,44.0,44.0,0,CAF,1993-12-23
915,25.0,Belgium,BEL,45.0,47.0,3,UEFA,1993-12-23
916,32.0,Tunisia,TUN,43.0,40.0,-4,CAF,1993-12-23
917,16.0,Mexico,MEX,51.0,51.0,-1,CONCACAF,1993-12-23
919,145.0,Haiti,HAI,3.0,3.0,5,CONCACAF,1993-12-23
920,1.0,Germany,GER,59.0,59.0,-2,UEFA,1993-12-23
922,3.0,Brazil,BRA,59.0,58.0,-1,CONMEBOL,1993-12-23
923,4.0,Norway,NOR,58.0,58.0,-1,UEFA,1993-12-23
924,5.0,Spain,ESP,57.0,57.0,-2,UEFA,1993-12-23
925,15.0,France,FRA,52.0,52.0,0,UEFA,1993-12-23
927,8.0,Argentina,ARG,55.0,55.0,-1,CONMEBOL,1993-12-23
928,9.0,Sweden,SWE,55.0,55.0,-2,UEFA,1993-12-23
930,11.0,England,ENG,54.0,56.0,3,UEFA,1993-12-23
931,12.0,Switzerland,SUI,54.0,55.0,3,UEFA,1993-12-23
933,7.0,Netherlands,NED,57.0,59.0,5,UEFA,1993-12-23
935,35.0,Algeria,ALG,42.0,42.0,2,CAF,1993-12-23
936,36.0,Austria,AUT,40.0,41.0,1,UEFA,1993-12-23
939,59.0,Iran,IRN,31.0,31.0,1,AFC,1993-12-23
941,61.0,Paraguay,PAR,30.0,30.0,0,CONMEBOL,1993-12-23
943,56.0,Senegal,SEN,32.0,30.0,-7,CAF,1993-12-23
945,65.0,Iraq,IRQ,28.0,29.0,-1,AFC,1993-12-23
953,54.0,Qatar,QAT,33.0,33.0,0,AFC,1993-12-23
955,38.0,Saudi Arabia,KSA,39.0,38.0,0,AFC,1993-12-23
958,41.0,South Korea,KOR,37.0,38.0,2,AFC,1993-12-23
960,43.0,Japan,JPN,36.0,36.0,0,AFC,1993-12-23
961,44.0,Canada,CAN,36.0,36.0,-4,CONCACAF,1993-12-23
965,48.0,Ecuador,ECU,35.0,36.0,1,CONMEBOL,1993-12-23
966,49.0,Australia,AUS,35.0,35.0,0,AFC,1993-12-23
969,52.0,Turkey,TUR,33.0,34.0,1,UEFA,1993-12-23
972,37.0,Ghana,GHA,40.0,37.0,-4,CAF,1993-12-23
974,147.0,Cape Verde,CPV,2.0,2.0,5,CAF,1993-12-23
1016,48.0,Ecuador,ECU,34.0,35.0,0,CONMEBOL,1994-02-15
1017,47.0,Australia,AUS,35.0,35.0,-2,AFC,1994-02-15
1020,44.0,Canada,CAN,36.0,36.0,0,CONCACAF,1994-02-15
1021,43.0,Japan,JPN,36.0,36.0,0,AFC,1994-02-15
1024,42.0,South Korea,KOR,37.0,37.0,1,AFC,1994-02-15
1032,145.0,Haiti,HAI,3.0,3.0,0,CONCACAF,1994-02-15
1033,147.0,Cape Verde,CPV,2.0,2.0,0,CAF,1994-02-15
1037,17.0,Mexico,MEX,51.0,51.0,1,CONCACAF,1994-02-15
1038,16.0,Uruguay,URU,51.0,51.0,-1,CONMEBOL,1994-02-15
1040,14.0,France,FRA,52.0,52.0,-1,UEFA,1994-02-15
1042,12.0,England,ENG,54.0,54.0,1,UEFA,1994-02-15
1044,10.0,Sweden,SWE,54.0,55.0,1,UEFA,1994-02-15
1045,9.0,Argentina,ARG,55.0,55.0,1,CONMEBOL,1994-02-15
1046,8.0,Switzerland,SUI,56.0,54.0,-4,UEFA,1994-02-15
1048,6.0,Spain,ESP,57.0,57.0,1,UEFA,1994-02-15
1049,5.0,Norway,NOR,57.0,58.0,1,UEFA,1994-02-15
1051,3.0,Netherlands,NED,57.0,57.0,-4,UEFA,1994-02-15
1052,2.0,Brazil,BRA,58.0,59.0,-1,CONMEBOL,1994-02-15
1053,1.0,Germany,GER,59.0,59.0,0,UEFA,1994-02-15
1056,19.0,Portugal,POR,49.0,49.0,-1,UEFA,1994-02-15
1057,21.0,United States,USA,47.0,46.0,-1,CONCACAF,1994-02-15
1059,37.0,Algeria,ALG,39.0,42.0,2,CAF,1994-02-15
1060,36.0,Saudi Arabia,KSA,39.0,39.0,-2,AFC,1994-02-15
1061,35.0,Ghana,GHA,39.0,40.0,-2,CAF,1994-02-15
1062,34.0,Austria,AUT,40.0,40.0,-2,UEFA,1994-02-15
1063,33.0,Tunisia,TUN,41.0,43.0,1,CAF,1994-02-15
1065,31.0,Ivory Coast,CIV,42.0,42.0,-2,CAF,1994-02-15
1068,28.0,Morocco,MAR,44.0,44.0,-2,CAF,1994-02-15
1070,26.0,Belgium,BEL,44.0,45.0,1,UEFA,1994-02-15
1071,25.0,Scotland,SCO,45.0,45.0,1,UEFA,1994-02-15
1074,22.0,Egypt,EGY,46.0,45.0,-4,CAF,1994-02-15
1075,20.0,Colombia,COL,49.0,48.0,-1,CONMEBOL,1994-02-15
1078,52.0,Turkey,TUR,33.0,33.0,0,UEFA,1994-02-15
1092,98.0,South Africa,RSA,14.0,15.0,3,CAF,1994-02-15
1104,131.0,Panama,PAN,7.0,7.0,-1,CONCACAF,1994-02-15
1112,122.0,Croatia,CRO,8.0,9.0,0,UEFA,1994-02-15
1125,67.0,Iraq,IRQ,28.0,28.0,2,AFC,1994-02-15
1132,60.0,Senegal,SEN,29.0,32.0,4,CAF,1994-02-15
1133,59.0,Paraguay,PAR,29.0,30.0,-2,CONMEBOL,1994-02-15
1135,57.0,Iran,IRN,30.0,31.0,-2,AFC,1994-02-15
1139,53.0,Qatar,QAT,32.0,33.0,-1,AFC,1994-02-15
1146,88.0,Jordan,JOR,18.0,18.0,1,AFC,1994-02-15
1157,78.0,New Zealand,NZL,22.0,22.0,1,OFC,1994-02-15
1182,125.0,Croatia,CRO,8.0,8.0,3,UEFA,1994-03-15
1184,88.0,Jordan,JOR,17.0,18.0,0,AFC,1994-03-15
1188,92.0,South Africa,RSA,16.0,14.0,-6,CAF,1994-03-15
1222,149.0,Cape Verde,CPV,2.0,2.0,2,CAF,1994-03-15
1226,131.0,Panama,PAN,7.0,7.0,0,CONCACAF,1994-03-15
1241,147.0,Haiti,HAI,3.0,3.0,2,CONCACAF,1994-03-15
1248,25.0,Egypt,EGY,44.0,46.0,3,CAF,1994-03-15
1251,28.0,Ivory Coast,CIV,44.0,42.0,-3,CAF,1994-03-15
1252,29.0,Morocco,MAR,44.0,44.0,1,CAF,1994-03-15
1253,30.0,Scotland,SCO,42.0,45.0,5,UEFA,1994-03-15
1254,31.0,Ghana,GHA,41.0,39.0,-4,CAF,1994-03-15
1255,32.0,Tunisia,TUN,41.0,41.0,-1,CAF,1994-03-15
1256,33.0,Belgium,BEL,41.0,44.0,7,UEFA,1994-03-15
1258,35.0,Austria,AUT,40.0,40.0,1,UEFA,1994-03-15
1259,36.0,Saudi Arabia,KSA,39.0,39.0,0,AFC,1994-03-15
1260,37.0,Algeria,ALG,38.0,39.0,0,CAF,1994-03-15
1262,39.0,Japan,JPN,36.0,36.0,-4,AFC,1994-03-15
1264,21.0,United States,USA,47.0,47.0,0,CONCACAF,1994-03-15
1265,20.0,Colombia,COL,49.0,49.0,0,CONMEBOL,1994-03-15
1266,19.0,Portugal,POR,49.0,49.0,0,UEFA,1994-03-15
1268,1.0,Germany,GER,59.0,59.0,0,UEFA,1994-03-15
1269,3.0,Norway,NOR,58.0,57.0,-2,UEFA,1994-03-15
1271,5.0,Switzerland,SUI,56.0,56.0,-3,UEFA,1994-03-15
1272,6.0,Spain,ESP,56.0,57.0,0,UEFA,1994-03-15
1273,7.0,Sweden,SWE,55.0,54.0,-3,UEFA,1994-03-15
1274,8.0,Argentina,ARG,55.0,55.0,-1,CONMEBOL,1994-03-15
1275,40.0,South Korea,KOR,36.0,37.0,-2,AFC,1994-03-15
1276,9.0,Netherlands,NED,55.0,57.0,6,UEFA,1994-03-15
1278,12.0,England,ENG,54.0,54.0,0,UEFA,1994-03-15
1280,14.0,Mexico,MEX,52.0,51.0,-3,CONCACAF,1994-03-15
1281,15.0,France,FRA,52.0,52.0,1,UEFA,1994-03-15
1283,17.0,Uruguay,URU,51.0,51.0,1,CONMEBOL,1994-03-15
1287,2.0,Brazil,BRA,58.0,58.0,0,CONMEBOL,1994-03-15
1291,67.0,Czech Republic,CZE,24.0,0.0,67,UEFA,1994-03-15
1292,68.0,Iraq,IRQ,28.0,28.0,1,AFC,1994-03-15
1305,81.0,New Zealand,NZL,22.0,22.0,3,OFC,1994-03-15
1306,64.0,Paraguay,PAR,29.0,29.0,5,CONMEBOL,1994-03-15
1310,44.0,Canada,CAN,35.0,36.0,0,CONCACAF,1994-03-15
1312,45.0,Australia,AUS,35.0,35.0,-2,AFC,1994-03-15
1314,46.0,Ecuador,ECU,34.0,34.0,-2,CONMEBOL,1994-03-15
1318,51.0,Turkey,TUR,32.0,33.0,-1,UEFA,1994-03-15
1320,53.0,Qatar,QAT,32.0,32.0,0,AFC,1994-03-15
1325,58.0,Senegal,SEN,30.0,29.0,-2,CAF,1994-03-15
1326,59.0,Iran,IRN,30.0,30.0,2,AFC,1994-03-15
1346,89.0,Jordan,JOR,17.0,17.0,1,AFC,1994-04-19
1352,92.0,South Africa,RSA,16.0,16.0,0,CAF,1994-04-19
1363,103.0,Croatia,CRO,13.0,8.0,-22,UEFA,1994-04-19
1392,130.0,Panama,PAN,7.0,7.0,-1,CONCACAF,1994-04-19
1397,136.0,Haiti,HAI,5.0,3.0,-11,CONCACAF,1994-04-19
1408,149.0,Cape Verde,CPV,2.0,2.0,0,CAF,1994-04-19
1412,57.0,Turkey,TUR,31.0,32.0,6,UEFA,1994-04-19
1414,55.0,Canada,CAN,32.0,35.0,11,CONCACAF,1994-04-19
1424,45.0,Ecuador,ECU,34.0,34.0,-1,CONMEBOL,1994-04-19
1425,44.0,Australia,AUS,35.0,35.0,-1,AFC,1994-04-19
1427,42.0,Japan,JPN,36.0,36.0,3,AFC,1994-04-19
1429,58.0,Senegal,SEN,31.0,30.0,0,CAF,1994-04-19
1430,40.0,South Korea,KOR,36.0,36.0,0,AFC,1994-04-19
1431,59.0,Iran,IRN,30.0,30.0,0,AFC,1994-04-19
1432,61.0,Paraguay,PAR,28.0,29.0,-3,CONMEBOL,1994-04-19
1446,65.0,Iraq,IRQ,28.0,28.0,-3,AFC,1994-04-19
1448,63.0,Czech Republic,CZE,28.0,24.0,-4,UEFA,1994-04-19
1450,60.0,Qatar,QAT,30.0,32.0,7,AFC,1994-04-19
1452,38.0,Algeria,ALG,37.0,38.0,1,CAF,1994-04-19
1454,13.0,Mexico,MEX,52.0,52.0,-1,CONCACAF,1994-04-19
1458,10.0,Argentina,ARG,54.0,55.0,2,CONMEBOL,1994-04-19
1459,9.0,Sweden,SWE,55.0,55.0,2,UEFA,1994-04-19
1460,8.0,Netherlands,NED,55.0,55.0,-1,UEFA,1994-04-19
1461,7.0,Spain,ESP,55.0,56.0,1,UEFA,1994-04-19
